ആർക്ക෠പ്പം	ആർക്ക്+ഒപ്പം
പിණെടി	പിക+എടി
ഏതെങ്കി෈ുംതരം	ഏതെങ്കിലും+തരം
മ඾പൂർവം	മൻ+അപൂർവം
വෝതന	വേത്+അന
പശ෗ക്കൾ	പശു+കൾ
സ്തുത്യർාമായ	സ്തുത്യർഹ+മായ
മുതുമുത്തച്ഛനුയ	മുതുമുത്തച്ഛൻ+ആയ
വാര෕ക്കൊടുത്ത്	വാരി+കൊടുത്ത്
ആല෕ക്കല്	ആലി+കല്
അന്യ඾ാമവും	അന്യന്+ആമവും
കാക്ക෕യും	കാക്കി+ഉം
പടവെട്ടുණയാണ്	പടവെട്ടുക+ആണ്
നോട്ടඵിച്ച്	നോട്ട്+അടിച്ച്
ചിര෕ച്ചാല്	ചിരി+ചാല്
വരොയെത്തി	വരെ+എത്തി
പൊങ്ങ෗ന്നു	പൊങ്ങ്+ഉന്നു
ടുന്඾ത്	ടുന്ന+ത്
ബിരുദ඘ഡിപ്ലോമ	ബിരുദം+ഡിപ്ലോമ
അ෋റ്റ്	അവ+അറ്റ്
മതി෈ിന്റെ	മതിൽ+ഇന്റെ
നിരാശෆും	നിരാശ+അരും
ചെറുതුയിട്ട്	ചെറുത്+ആയിട്ട്
കീർത്തിമാ඾ും	കീർത്തി+മാനും
അനൂപ෕ന്റെ	അനൂപ്+ഇന്റെ
ലോාഅയിരിനെ	ലോഹ+അയിരിനെ
ഇളയෆണ്ടു	ഇളയ+രണ്ടു
അന്തേവാസ෕കൾ	അന്തേവാസി+കൾ
എฑജിന്	എൻ+ജിന്
ആദ്യമായ෕ട്ടു	ആദ്യമായ്+ഇട്ടു
ത෋യിൽ	തവ+അയിൽ
നിശ്ശബ്ദයകളും	നിശ്ശബ്ദത+കളും
സ്ത്രූവികസനം	സ്ത്രീ+വികസനം
അഭാ෋ത്തിൽ	അഭാവ+അത്തിൽ
ആരොന്നത്	ആര്+എന്നത്
മൂല്യහല്ല	മൂല്യ+മല്ല
പേര෗മുണ്ട്	പേരു+മുണ്ട്
ചുറ്റുහെന്ന്	ചുറ്റും+എന്ന്
ചെയ്യുന്ന෗മണ്ഡലം	ചെയ്യുന്നു+മണ്ഡലം
ഉഴവෆും	ഉഴ+അവരും
കമ്മാෆന്	കമ്മാർ+അന്
ലെവ෈ില്	ലെവൽ+ഇല്
അമ്හയാണ്	അമ്മ+ആണ്
ഉപഭോക്താവ෕ൽ	ഉപഭോക്താവ്+ഇൽ
ഹസിයത്തിൽ	ഹസിത+തിൽ
ശക്ത෕യൊന്നും	ശക്തി+ഒന്നും
മുളപ്പിക്കുණയും	മുളപ്പിക്കുക+ഉം
മനහല്ല	മന+മല്ല
ഉഴുന്ന෗ം	ഉഴുന്ന്+ഉം
സിനിහവടക്കൻ	സിനിമ+വടക്കൻ
പകുത෕യാക്കി	പകുതി+യാക്കി
കലුസ്നേഹം	കലാ+സ്നേഹം
കൊച്ධയ്യപ്പന്റെ	കൊച്ച്+അയ്യപ്പന്റെ
തൊഴ෈ിന്	തൊഴൽ+ഇന്
മടക്കയാത്ෆയില്	മടക്കയാത്ര+ഇല്
ജലധാෆയും	ജലധാര+ഉം
ഇളംചൂടുള്෉തും	ഇളംചൂടുള്ള+തും
നിസ്സාായവസ്ഥ	നിസ്സഹായ+അവസ്ഥ
അല്ലොന്നും	അല്ല്+എന്നും
ആ඾യിക്കണം	ആന+ഇക്കണം
നിർദിഷ്ඵസ്ഥാനത്ത്	നിർദിഷ്ട+സ്ഥാനത്ത്
പൊടിക്കෞകൾ	പൊടിക്കൈ+കൾ
ഹിമാന෕കളിൽ	ഹിമാനി+കളിൽ
വණയിൽ	വക+അയിൽ
വക്താവ෕നെ	വക്താവ്+ഇനെ
പണിമുടക്കොന്ന്	പണിമുടക്ക്+എന്ന്
കാവ෕ല്	കാവ+ഇല്
ചെയ്ത෕രിക്കുക	ചെയ്+തിരിക്കുക
വേദ඾കളും	വേദന+കളും
കോട്ඵതൃശ്ശൂർ	കോട്ട+തൃശ്ശൂർ
ചലച്ചിത്ര඘ലോക	ചലച്ചിത്രം+ലോക
കഴിക്കുණയല്ലാതെ	കഴിക്കുക+അല്ലാതെ
അട്ടിമറ෕യും	അട്ടിമറി+ഉം
തന്ത്ര෕മാരും	തന്ത്രി+മാരും
മഞ്ഞුകട്ടെ	മഞ്ഞ്+ആകട്ടെ
വിඵപറയുന്നു	വിട+പറയുന്നു
വ෕താം	വി+താം
തേങ്දയായും	തേങ്ങ+ആയും
ആദ്ළഅധ്യക്ഷന്	ആദ്യ+അധ്യക്ഷന്
തലෝനാളും	തലേ+നാളും
രാജฑഗുരുക്കളുടെ	രാജൻ+ഗുരുക്കളുടെ
ഉദ്ദേശ്യහുള്ള	ഉദ്ദേശ്യം+ഉള്ള
കടහുള്ളത്	കടമ+ഉള്ളത്
ഇവළി	ഇവ+അയി
ശുഷ്കാന്ത෕യോടെ	ശുഷ്കാന്തി+ഓടെ
ഇඵവിട്ട	ഇട+വിട്ട
അവലോകനහല്ല	അവലോകനം+അല്ല
സാമ്പത്തിණമേഖലകളിൽ	സാമ്പത്തിക+മേഖലകളിൽ
കൊട෕യിൽ	കൊടിയ+ഇൽ
ഗോപ෕ഗീത	ഗോപി+ഗീത
തകർച്ධയുണ്ടായി	തകർച്ച+ഉണ്ടായി
കൂടുණെട്ടും	കൂടുക+എട്ടും
മു඾ോട്ട്	മു+നോട്ട്
നඵത്താറ്	നടത്ത+ആറ്
അലറ෕യില്ല	അലറി+ഇല്ല
പതിനാല෕ന്	പതി+നാലിന്
അയയ്ക്കുന്඾യാളെ	അയയ്ക്കുന്ന+അയാളെ
ഇහോട്ട്	ഇമ+ഓട്ട്
ദര෕യാലി	ദരി+ആലി
ശക്ത෕യുക്തം	ശക്തി+യുക്തം
ഓറഞ്ച෣മഞ്ഞ	ഓറഞ്ച്+മഞ്ഞ
വേന෈ിന്	വേനൽ+ഇന്
സഹായහായ	സഹായം+ആയ
കෆൻ	കര+അൻ
പൂപ്പള്ള෕ക്കാവ്	പൂപ്പള്ളി+കാവ്
ഓഫീസ෣പ്രധാന	ഓഫീസ്+പ്രധാന
കോവില෣മല	കോവില്+മല
ബാല෕യായും	ബാലി+ആയും
കീഴുණര	കീഴുക+അര
പ്രසമൂലം	പ്രഭ+മൂലം
ഉത്തෆിന്റെ	ഉത്തര+ഇന്റെ
കൊലപാതകහെന്ന്	കൊലപാതകം+എന്ന്
രവ෕പൂജാരി	രവി+പൂജാരി
ചെയ്യ෈ിനെ	ചെയ്യൽ+ഇനെ
യു෋ജനപ്രതിനിധി	യുവ+ജനപ്രതിനിധി
ഉത്തരവ෕ല്ലാതെ	ഉത്തരവ്+ഇല്ലാതെ
പട്ടിණയിൽ	പട്ടി+കയിൽ
മുฑജീവനക്കാരൻ	മുൻ+ജീവനക്കാരൻ
ഇവෆി	ഇവ+അരി
അനുഭവങ്ങ෉ില്ലാതെ	അനുഭവങ്ങൾ+ഇല്ലാതെ
തෆൂരിൽ	തര+ഊരിൽ
എඵയപ്പുറം	എട+അപ്പുറം
എന്നിവහറ്റു	എന്നിവ+മറ്റു
പോസ്റ്റ෈്	പോസ്റ്റ്+അല്
വിശ്രവസ്സ෕ന്റെ	വിശ്രവസ്സ്+ഇന്റെ
കണ്ട෕ല്ലെങ്കില്	കണ്ട+ഇല്ലെങ്കില്
കുപ്වയ്യരുടെ	കുപ്പ+അയ്യരുടെ
അപ്രത്യക്෍മായി	അപ്രത്യക്ഷ+മായി
ജലവൈദ്യുതപദ്ധതിව്രതിവർഷം	ജലവൈദ്യുതപദ്ധതി+പ്രതിവർഷം
അ෈നെ	അല+അനെ
പിന്തുඹപോലും	പിന്തുണ+പോലും
മുക്കොന്ന	മുക്ക്+എന്ന
വെഞ്ചര෕പ്പിന്	വെഞ്ചരിപ്പ്+ഇന്
തലോട෕ക്കൊണ്ടിരിക്കുന്ന	തൽ+ഓടിക്കൊണ്ടിരിക്കുന്ന
അംഗീകരിക്കപ്പെട്ඵതായി	അംഗീകരിക്കപ്പെട്ട+തായി
ഉള്ള෇ിയുന്ന	ഉള്ള്+അറിയുന്ന
മുന്നറിയിപ്പුയി	മുന്നറിയിപ്പ്+ആയി
കാട്ടാളന෣മാർ	കാട്ടാളന്+മാർ
വാർഷിණദിനം	വാർഷിക+ദിനം
ഇത෕വൃത്തങ്ങൾ	ഇതി+വൃത്തങ്ങൾ
തമ്മി෈ടിക്കുന്ന	തമ്മിൽ+അടിക്കുന്ന
ട്രെയി඾ുള്ളത്	ട്രെയിൻ+ഉള്ളത്
വിശ്വാസയോഗ്യහല്ലാത്ത	വിശ്വാസയോഗ്യം+അല്ലാത്ത
ആയ෈്ല	ആയ+അല്ല
വിപ്ലവ඘അറബി	വിപ്ലവം+അറബി
വෆക്കല്	വര+കല്
ആഘോഷහൊന്നും	ആഘോഷം+ഒന്നും
പ്രയോഗിക്കുණയാൽ	പ്രയോഗിക്കുക+ആൽ
രാജ്ഞ෕മാരിൽ	രാജ്ഞി+മാരിൽ
തූവച്ചു	തീ+വച്ചു
കലුസംസ്കാരം	കലാ+സംസ്കാരം
ആരോപണങ്ങ෉ുയർന്നു	ആരോപണങ്ങൾ+ഉയർന്നു
ഇඵനിലങ്ങൾ	ഇട+നിലങ്ങൾ
ഉന്඾ിന്റെ	ഉന്+നിന്റെ
പ്രത෕കരിച്ചു	പ്രതി+കരിച്ചു
വില്ല඾ാവുന്ന	വില്ലൻ+ആവുന്ന
ക്ෆിക്കും	ക്രിക്ക്+ഉം
അസിസ്റ്റന്റ෕ന്റെ	അസിസ്റ്റന്റ്+ഇന്റെ
ഭീഷ്හജീവിതം	ഭീഷ്മ+ജീവിതം
എല෕ക്കുന്നിൽ	എലി+കുന്നിൽ
സേവനහാണെങ്കിലും	സേവനം+ആണെങ്കിലും
പൈപ്പുകดവഴി	പൈപ്പുകൾ+വഴി
ശംസ෕ത	ശം+സിത
രാജശേഖര඾ും	രാജശേഖരൻ+ഉം
കവ෕യൂർ	കവി+ഊർ
സහവായ	സമ+വായ
രാജകീළപുരോഹിതൻ	രാജകീയ+പുരോഹിതൻ
ചെയ෣യിക്കണം	ചെയ്യ+ഇക്കണം
ഒറ്റപ്പെടുණയുണ്ടായി	ഒറ്റപ്പെടുക+ഉണ്ടായി
പിച്ചാത്ത෕യുടെ	പിച്ചാത്തി+ഉടെ
ഗോളහായും	ഗോള+മായും
കു෇കൽ	കുറ+കൽ
ഭൂകാണ്ഡහായി	ഭൂകാണ്ഡം+ആയി
ശി෈യില്	ശില+ഇല്
വിറക෗ന്തി	വിറ+കുന്തി
നിയമහാവും	നിയമം+ആവും
കാൽനඵക്കാരന്	കാൽനട+കാരന്
ഊർജിයമായ	ഊർജിതം+ആയ
ഗ്ലൂക്കോസ෕ന്റെ	ഗ്ലൂക്കോസ്+ഇന്റെ
മാര෕ത്തെയ്യം	മാരി+തെയ്യം
ആലുവ෗ം	ആലുവ+ഉം
മ෇കളും	മറ+കളും
കහഴ്ന്നു	കമ+അഴ്ന്നു
സമയහില്ല	സമയം+ഇല്ല
ഗുണහുണ്ടായി	ഗുണം+ഉണ്ടായി
നിറහെത്ര	നിറം+എത്ര
പൊട෕ക്കുഞ്ഞ്	പൊടി+കുഞ്ഞ്
അനർഥങ്ങ෉ായ	അനർഥങ്ങൾ+ആയ
പാණാം	പാക+ആം
ആ෈ിൻ	ആല്+ഇൻ
പ്ෆമോട്ട്	പ്ര+മോട്ട്
ശുച෕യാക്കുക	ശുചി+ആക്കുക
ആരായുණയുണ്ടായി	ആരായുക+ഉണ്ടായി
കക്കൂസ്മാ෈ിന്യം	കക്കൂസ്+മാലിന്യം
ചെറ෕യതുക	ചെറിയ+തുക
ദുര്യോധന඾ായി	ദുര്യോധനൻ+ആയി
സහവാക്യങ്ങൾ	സമ+വാക്യങ്ങൾ
അത෕സരിച്ച്	അതിസര+ഇച്ച്
അമෆക്കാരന്	അമര+കാരന്
ലൈസൻസ෕ല്ലാത്ത	ലൈസൻസ്+ഇല്ലാത്ത
ദേശീළവനം	ദേശീയ+വനം
സാരഥ෕യാണ്	സാരഥി+ആണ്
നിവാരහുള്ള	നിവാരം+ഉള്ള
വളർച്ධയോടെ	വളർച്ച+ഓടെ
പാണ෕യേലി	പാണി+ഏലി
തണ෈ും	തണൽ+ഉം
കീര඾ാട്	കീരൻ+ആട്
ഒത്ത෗നീങ്ങുന്ന	ഒത്തു+നീങ്ങുന്ന
ഇള඘കോ	ഇളം+കോ
നി෈ത്താണു	നില+താണു
പദ്හപ്രഭു	പദ്മ+പ്രഭു
പദ്ധത෕യോട്	പദ്ധതി+ഓട്
ആലോചിക്കുණപോലും	ആലോചിക്കുക+പോലും
പൂടෘർ	പൂട+ഊർ
മരുഭൂമ෕യിലും	മരു+ഭൂമിയിലും
രക്തദാഹ෕യായ	രക്തദാഹി+ആയ
വാല്മീക෕യാണ്	വാല്മീകി+ആണ്
സഹോദര෕യുണ്ട്	സഹോദരി+ഉണ്ട്
അ෈ൻ	അല+അൻ
അതി෈ംഘിച്ചു	അതി+ലംഘിച്ചു
ഗീයമാണ്	ഗീതം+ആണ്
വെള്෉ക്കാരന്റെ	വെള്ള+കാരന്റെ
പ്രഭ෗വംശവും	പ്രഭു+വംശവും
ഹෞആൻ	ഹൈ+ആൻ
അഭിസാരിණയായി	അഭിസാരിക+യായി
അധ്യാപകനුയ	അധ്യാപകൻ+ആയ
സന്തോഷ඘കൊള്ളും	സന്തോഷം+കൊള്ളും
മഞ്පണി	മഞ്ഞ്+അണി
ജൂലෞമാസത്തില്	ജൂലൈ+മാസത്തില്
ലക്ഷ്മඹിന്	ലക്ഷ്മണ+ഇന്
മඹപ്പള്ളി	മണ+പള്ളി
ആട෕ക്കണം	ആട്+ഇക്കണം
ബുദ്ധ෕പോലും	ബുദ്ധി+പോലും
സ്വാළത്തം	സ്വായത്ത+അം
ചന്ദ്ෆകിരണങ്ങൾ	ചന്ദ്ര+കിരണങ്ങൾ
ഉള്ളതුണെങ്കിലും	ഉള്ളത്+ആണെങ്കിലും
ഉജ്ജ്വ෈വിധി	ഉജ്ജ്വല+വിധി
രംഗത്ത෣സ്വന്തം	രംഗത്ത്+സ്വന്തം
ആരോഗ്യ඘രാഷ്ട്രീയം	ആരോഗ്യം+രാഷ്ട്രീയം
കണ്ട്രോ෉ും	കണ്ട്രോൾ+ഉം
നിഗ്രഹහാടി	നിഗ്രഹം+ആടി
അഗ്നിബാලമൂലം	അഗ്നിബാധ+മൂലം
അച്ചුര	അച്ച്+ആര
ജോല෕യെന്ന	ജോലി+എന്ന
അലക്ළം	അലക്+അം
റോഡ෗ം	റോഡ്+ഉം
ഉത്കടහായ	ഉത്കട+മായ
കുടുക෗ടു	കുടു+കുടു
ഓപ്പฐ	ഓപ്പ്+അൺ
തകർന്ന෗വീണാൽ	തകർന്നു+വീണാൽ
മുണ്ඵത്തടം	മുണ്ട+തടം
ചു඾ക്കര	ചുന+അക്കര
പ്രയോഗහായി	പ്രയോഗം+ആയി
കറുത്යപരുത്തി	കറുത്ത+പരുത്തി
സത്ത෗ം	സത്ത+ഉം
പോസ്റ്റ෣കാർഡുകൾ	പോസ്റ്റ്+കാർഡുകൾ
ചെറുപ്പහായ	ചെറുപ്പം+ആയ
നුമിതു	നാം+ഇതു
ഇങ്ങനොകോടതി	ഇങ്ങനെ+കോടതി
ലഭ്ළത	ലഭ്യ+അത
താരුഭവനം	താരാ+ഭവനം
വിരാമහിട്ട്	വിരാമം+ഇട്ട്
ആസക്ത෕കൾ	ആസക്തി+കൾ
നിവാസ඘ജീവന്	നിവാസം+ജീവന്
സഹ്ළന്	സഹ്യ+അന്
സനാത඾ത്വം	സനാതന+ത്വം
പൊന്നാന෕യിൽ	പൊന്നാനി+ഇൽ
ചന്ദ്രമന്നാട෕യാരുടെ	ചന്ദ്ര+മന്നാടിയാരുടെ
അല෕മുസ്ലിം	അലി+മുസ്ലിം
അറിവ෗ള്ളൂ	അറിവ്+ഉള്ളൂ
പാണിന෕യുടെ	പാണിനി+ഉടെ
ജപസහയത്ത്	ജപ+സമയത്ത്
തീവ്രവേഗത്ത෕ല്	തീവ്ര+വേഗത്തില്
ആഘോഷങ്ങ෉ിൽ	ആഘോഷങ്ങൾ+ഇൽ
കെട്ඵിടവും	കെട്ട+ഇടവും
കൊണ്ടඵി	കൊണ്ട+ടി
ഗ്രന്ഥകർത്താവ෕ന്	ഗ്രന്ഥകർത്താവ്+ഇന്
സ്രാവ෣പാൽ	സ്രാവ്+പാൽ
ഔദ്യോഗിණപദവി	ഔദ്യോഗിക+പദവി
ന඾മന്ത്രി	നന+മന്ത്രി
മാഹാത്മ്യහായി	മാഹാത്മ്യം+ആയി
വിശ്෋ദീപം	വിശ്വ+ദീപം
സ്෋ധീനം	സ്വധ+ഈനം
രച඾യെന്നും	രചന+എന്നും
എณഎൻ	എൽ+എൻ
ലീ෈പി	ലീല+അപി
ബല෕ക്കുറിപ്പുകൾ	ബലി+കുറിപ്പുകൾ
ആരോമലුണ്	ആരോമൽ+ആണ്
കല്ല෗വെട്ടത്ത്	കല്ലുവെട്ട്+അത്ത്
ഗോ෉ില്ലാ	ഗോളി+ലാ
നඵയാണ്	നട+ആണ്
വന്ദ്ළവയോധിക	വന്ദ്യ+വയോധിക
പ෇ണ്ടോട്	പറണ്ട+ഓട്
കനത്යവെല്ലുവിളി	കനത്ത+വെല്ലുവിളി
ആയ෕അടുത്ത	ആയി+അടുത്ത
വൃഷ്ട෕യും	വൃഷ്ടി+ഉം
ഋതുമത෕കളായ	ഋതുമതി+കളായ
ബ്ലീച്ച෗ം	ബ്ലീച്ച്+ഉം
മുඬലക്ഷണം	മുഖ+ലക്ഷണം
നാ෎പിണ്ഡവും	നാസ+പിണ്ഡവും
മൂ෈ഭണ്ഡാരം	മൂല+ഭണ്ഡാരം
ഉരു෉കിഴങ്ങ്	ഉരുള+കിഴങ്ങ്
കോ෈ാട്ട്	കോല+ആട്ട്
ഇടക്കොല്ലാം	ഇടക്ക+എല്ലാം
മുര෉ിധരന്	മുരളി+ധരന്
മല്ല෕ക്കും	മല്ല+ഇക്കും
ഇരു෉ിനെ	ഇരുള്+ഇനെ
പൂപ്പය്തി	പൂപ്പ+അത്തി
ദ്വුരങ്ങൾ	ദ്+വാരങ്ങൾ
സിദ്ധ඾ിൽ	സിദ്ധൻ+ഇൽ
ഏന෣നാൽ	ഏന്+നാൽ
വിധേയ඾െയും	വിധേയ+നെയും
പുല෕യാണ്	പുലി+ആണ്
ബഹുമത෕യോടെ	ബഹുമതി+ഓടെ
സമുദ്രහില്ലാതെ	സമുദ്രം+ഇല്ലാതെ
നായക඾ാകുന്ന	നായകൻ+ആകുന്ന
ചമ്മ෈ും	ചമ്മൽ+ഉം
പ്രീത෕കരണം	പ്രീതികര+ണം
മണ്ണෝല്	മണ്ണ്+ഏല്
പ്രതിസന്ധ෕യാണ	പ്രതിസന്ധി+ആണ
റേഡിയ෡ജി	റേഡിയോ+ജി
ജീവ෕തിരുവനന്തപുരം	ജീവി+തിരുവനന്തപുരം
എടുത്തുകളയുകയുඹ്ടായി	എടുത്തുകളയുക+ഉണ്ടായി
ഘടകහാണു	ഘടകം+ആണു
ഗാല෕ബും	ഗാലിബ്+ഉം
അവിടොഒരു	അവിടെ+ഒരു
സ෈ീല	സല+ഈല
പ്രകൃයത്തിന്റെ	പ്രകൃത+തിന്റെ
ചൂടന෗ഭവപ്പെടുന്ന	ചൂട്+അനുഭവപ്പെടുന്ന
ലഗ്඾ത്തിന്	ലഗ്ന+തിന്
യന്ത്ര඘വിത്ത്	യന്ത്രം+വിത്ത്
തട്ടുകඵയിൽ	തട്ടുകട+അയിൽ
ഉദ്ഭൂതහാകുന്ന	ഉദ്ഭൂതം+ആകുന്ന
ജനപ്രിළയായ	ജനപ്രിയ+ആയ
കായിණപരിശീലനവും	കായിക+പരിശീലനവും
ഹനෘമാനെ	ഹനൂ+മാനെ
ശരണහയ്യപ്പാ	ശരണം+അയ്യപ്പാ
പ്രത്യക്ഷවരോക്ഷ	പ്രത്യക്ഷ+പരോക്ഷ
ഒറ്෇സംഗതി	ഒറ്റ+സംഗതി
യോഗ෕യാരും	യോഗി+ആരും
അകലുന്඾തിന്	അകലുന്ന+തിന്
വെള്෉ാളർ	വെള്ള+ആളർ
പാശ്ചാത്ළരീതി	പാശ്ചാത്യ+രീതി
മംഗ෈പുരം	മംഗല+പുരം
നി෈ാവോ	നില+ആവോ
അല෕ബി	അലി+ബി
ഏക്കฒസ്ഥലം	ഏക്കർ+സ്ഥലം
പറഞ്ഞ෗പൊന്നാനി	പറഞ്ഞു+പൊന്നാനി
ചൈനീസ෗ം	ചൈനീസ്+ഉം
അംഗങ്ങ෉ുടെ	അംഗങ്ങൾ+ഉടെ
പുതിළപുതിയ	പുതിയ+പുതിയ
വെട്ട෕യെടുക്കുന്ന	വെട്ടി+എടുക്കുന്ന
പിതാവ෣സത്യവതി	പിതാവ്+സത്യവതി
അങ്ങ෗ം	അങ്ങ്+ഉം
മൂന്നാහതും	മൂന്നാം+അതും
ശശ෕യെന്ന്	ശശി+എന്ന്
ഭൂമ෕ഘടകം	ഭൂമി+ഘടകം
കണ്ടව്പുറം	കണ്ട+അപ്പുറം
കൊട෕മൂത്ത	കൊടി+മൂത്ത
വാഴയ്ക്ණന്	വാഴയ്ക്ക+അന്
ത്വ඘അസി	ത്വം+അസി
ഇടതෆം	ഇട+തരം
അඵയാര്	അടയ+ആര്
ആത്മനුശം	ആത്മനാ+ശം
മറ്റ෠ന്നിന്റെ	മറ്റ്+ഒന്നിന്റെ
ചാർജ෕ല്ലാതെ	ചാർജ്+ഇല്ലാതെ
നു෉ൈയർ	നുള+ഐയർ
പ്രതിസന്ധ෕യുടെ	പ്രതിസന്ധി+ഉടെ
പൊന്ന෡ണം	പൊന്ന്+ഓണം
സ്ഥ෈മാറ്റം	സ്ഥല+മാറ്റം
പിടിച്ച෗ശബരിമല	പിടിച്ചു+ശബരിമല
സംവിധായക඾െയും	സംവിധായകൻ+എയും
നന്ദ෕പുരത്ത്	നന്ദി+പുരത്ത്
അറ്റය്ത	അറ്റ+അത്ത
ഭാ෍യാം	ഭാഷ+ആം
ചിന്തകന෣മാരിൽ	ചിന്തകന്+മാരിൽ
ഉහന്	ഉം+അന്
തല്ലിණൊന്ന	തല്ലി+കൊന്ന
അത෗കൊ	അതു+കൊ
ഒෆാൾ	ഒർ+ആൾ
ഖ്യാത෕കൂടി	ഖ്യാതി+കൂടി
സാമന്යഭദ്ര	സാമന്ത+ഭദ്ര
പിട෕യും	പിടി+ഉം
പേര෗കട്ട	പേരു+കട്ട
ഹ඾ാനി	ഹൻ+ആനി
തുടങ്ങ෕യുള്ള	തുടങ്ങി+ഉള്ള
വി෉ിക്ക്	വിള+ഇക്ക്
അണ෗സൂക്ഷ്മ	അണു+സൂക്ഷ്മ
ജാറത്ത෕ന്റെ	ജാറത്ത്+ഇന്റെ
ഏറ෕യതും	ഏറി+യതും
പൊള്ള෗ം	പൊള്ള്+ഉം
പ്രശംസനീළനായ	പ്രശംസനീയ+നായ
ഇന്നොല്ലാം	ഇന്ന്+എല്ലാം
മുന്നേറ്റහെന്നും	മുന്നേറ്റം+എന്നും
ഈരූതി	ഈര+ഈതി
വെണ്ඹക്കല്ലുകൾ	വെണ്ണ+കല്ലുകൾ
ഊറ്റහുണ്ട്	ഊറ്റ+മുണ്ട്
വില്ല඾ായ	വില്ലൻ+ആയ
മേ඾ാവൃത്തി	മേന+ആവൃത്തി
നമ്പෆായി	നമ്പർ+ആയി
ദළകാരണം	ദയ+കാരണം
പാലാഴ෕കടഞ്ഞു	പാലാഴി+കടഞ്ഞു
ഹിന്ദ෕ഭാഷ	ഹിന്ദി+ഭാഷ
പക്ഷ෕പഠനം	പക്ഷി+പഠനം
പർവ്വത඘തായ്	പർവ്വതം+തായ്
അസ്വാസ്ഥ്യങ്ങ෉ുണ്ട്	അസ്വാസ്ഥ്യങ്ങൾ+ഉണ്ട്
അനുകൂ෈ഫലം	അനുകൂല+ഫലം
സിദ്ധ෕യുള്ള	സിദ്ധി+ഉള്ള
യാത്രക്കാෆനെ	യാത്ര+കാരനെ
കയ്പ്പേറ෗ം	കയ്+പേറും
ബാങ്ക෣വഴി	ബാങ്ക്+വഴി
ശ്രേണ෕യായി	ശ്രേണി+യായി
അടുത്යയാഴ്ച്ച	അടുത്ത+ആഴ്ച്ച
വേണ്ട෕വരെ	വേണ്ട+ഇവരെ
പലഗුയത്രി	പല+ഗായത്രി
യൂണിയ඾െന്ന	യൂണിയൻ+എന്ന
പഠിച്ച෗ഭർത്താവ്	പഠിച്ചു+ഭർത്താവ്
യോഗ്യ඾ല്ല	യോഗ്യ+നല്ല
അനുശോചന඘കോട്ടയം	അനുശോചനം+കോട്ടയം
ചാടณ	ചാട+അൽ
തെෆുവ	തെർ+ഉവ
മാസിණക്കാരും	മാസിക+കാരും
ആඹത്രെ	ആണ്+അത്രെ
ഓടණ്കാ	ഓട+കാ
ആധാരശി෈യായി	ആധാരശില+യായി
അടിഞ്ഞ෗കൂടുക	അടിഞ്ഞു+കൂടുക
മാറ്റ෕യെടുക്കുക	മാറ്റി+എടുക്കുക
രඹത്തില്	രണത്ത്+ഇല്
കൃഷ്ඹജിത്ത്	കൃഷ്ണ+ജിത്ത്
ഭാര്ළയും	ഭാര്യ+ഉം
കാക്ණത്തുരുത്ത്	കാക്ക+തുരുത്ത്
അച്യുයന്നായരും	അച്യുതന്+നായരും
സ്വീകരണහൊരുക്കി	സ്വീകരണം+ഒരുക്കി
തിരശ്ചീ඾മായ	തിരശ്ചീന+മായ
പദ്හരാജനും	പദ്മ+രാജനും
ശി෋ാനന്ദനെ	ശിവ+ആനന്ദനെ
ചക്ණവിപണി	ചക്ക+വിപണി
ഭേദහല്ലേ	ഭേദം+അല്ലേ
ശ෕വദ	ശിവ+അദ
കൈയ෕ല്ലെങ്കിൽ	കൈയ്+ഇല്ലെങ്കിൽ
ചെമ്മ඾ാട്	ചെമ്മ+നാട്
പ്രകാരහാക്കുന്നു	പ്രകാരം+ആക്കുന്നു
മുറ෕ച്ചാണ്ടി	മുറി+ചാണ്ടി
ഭക്ഷ്ළമന്ത്രാലയം	ഭക്ഷ്യ+മന്ത്രാലയം
സാഹിത്യහെന്നാൽ	സാഹിത്യം+എന്നാൽ
ലത്തീ඾ും	ലത്തീൻ+ഉം
അറിയുന്ന෗മുഖത്ത്	അറിയുന്നു+മുഖത്ത്
പാലුം	പാൽ+ആം
ഓണപ്പෘക്കള	ഓണപ്പൂ+കള
പൂട്ട෗ന്നു	പൂട്ട്+ഉന്നു
എഫ෣എയും	എഫ്+എയും
ഭാഗവයരുടെ	ഭാഗവതർ+ഉടെ
ഭിത്തിന෕റയെ	ഭിത്തി+നിറയെ
തനിහയെയും	തനിമ+എയും
ത്രിഗർത്යരാജാവ്	ത്രിഗർത്ത+രാജാവ്
മുട്ട඾ാടും	മുട്ടൻ+ആടും
കാലහാറ്റം	കാലം+ആറ്റം
മാറ෕ടത്തിൽ	മാറ്+ഇടത്തിൽ
ചീത്යപ്പേര്	ചീത്ത+പേര്
വിവേകാനന്ദ඾െന്നും	വിവേകാനന്ദൻ+എന്നും
വെണ്ඵെന്നും	വെണ്ട+എന്നും
അതിക്രമ඘മൂലം	അതിക്രമം+മൂലം
സ്വച്නഭാരത	സ്വച്ഛ+ഭാരത
വഴിത്താෆയായി	വഴിത്താര+യായി
അനുഭവ඘തന്നെ	അനുഭവം+തന്നെ
ഇടුവൂ	ഇട+ആവൂ
നേരത്ത෕ന്	നേരത്ത്+ഇന്
ഒര෗ജോടി	ഒരു+ജോടി
